Iteration,Instance,Execution Time (s),Best Cost
1,C101.txt,154.73447346687317,8118.872845449926
2,C101.txt,167.75122237205505,8087.314988055521
3,C101.txt,153.59511256217957,8061.881271029481
4,C101.txt,143.08203125,7949.267472710369
5,C101.txt,160.2404396533966,8140.895607333105
6,C101.txt,166.17805552482605,8134.838278705239
7,C101.txt,170.36468267440796,7949.640014816551
8,C101.txt,162.44808888435364,7853.188159106675
9,C101.txt,161.44173622131348,7906.380182028175
10,C101.txt,161.50224661827087,7924.004203833773
1,R101.txt,182.8598141670227,4706.243761047572
2,R101.txt,178.45028424263,4621.126125094582
3,R101.txt,176.99267482757568,4669.467292324878
4,R101.txt,187.25342106819153,4650.404694823665
5,R101.txt,161.81767439842224,4714.408427304295
6,R101.txt,173.27424573898315,4637.848380669799
7,R101.txt,160.0760476589203,4674.123089419015
8,R101.txt,167.9429943561554,4647.969709006874
9,R101.txt,178.81662511825562,4698.375758130915
10,R101.txt,165.14755582809448,4685.346814392929
1,RC101.txt,164.7572410106659,5716.006918898022
2,RC101.txt,161.75376105308533,5782.588849369905
3,RC101.txt,154.8837025165558,5726.489549794451
4,RC101.txt,183.60512280464172,5770.304359306384
5,RC101.txt,152.79226398468018,5743.130657854122
6,RC101.txt,168.64343857765198,5796.197655250193
7,RC101.txt,157.22936415672302,5659.556016587918
8,RC101.txt,163.6600272655487,5745.271103663412
9,RC101.txt,159.0464198589325,5737.290751967501
10,RC101.txt,157.35941433906555,5683.312924705829
1,C201.txt,179.33814883232117,5706.903290967918
2,C201.txt,180.6872260570526,5743.595958517681
3,C201.txt,166.66535997390747,5782.44517323139
4,C201.txt,163.22711730003357,5704.775429800315
5,C201.txt,174.32054209709167,5707.409727801932
6,C201.txt,161.94301223754883,5744.009491685179
7,C201.txt,165.35510849952698,5744.865799019677
8,C201.txt,175.80096793174744,5704.700166654955
9,C201.txt,169.96993708610535,5815.877311237192
10,C201.txt,168.3922255039215,5701.316257822995
1,R201.txt,2612.3021988868713,3617.9810581924303
2,R201.txt,174.68728470802307,3627.164528682776
3,R201.txt,177.68679213523865,3622.5495261212327
4,R201.txt,174.39487648010254,3564.6511198565936
5,R201.txt,169.17331886291504,3618.3610222679927
6,R201.txt,179.1234200000763,3562.349611091355
7,R201.txt,175.5155086517334,3667.0430593073174
8,R201.txt,165.2261815071106,3630.214588364799
9,R201.txt,181.4446632862091,3588.6445692081684
10,R201.txt,162.23802971839905,3569.6953419849506
1,RC201.txt,247.38330674171448,4973.3498825204515
2,RC201.txt,210.1933536529541,5072.200163617015
3,RC201.txt,164.3456907272339,5139.592586659834
4,RC201.txt,202.624347448349,5352.450135276045
5,RC201.txt,195.37743949890137,4924.309011356269
6,RC201.txt,190.19203209877014,5057.649809789688
7,RC201.txt,200.12632036209106,5177.785271981925
8,RC201.txt,197.55959844589233,5079.479918103916
9,RC201.txt,185.9206564426422,5154.433042531914
10,RC201.txt,197.56660413742065,4869.933577864521
1,C106.txt,123.23974370956421,8165.206444800901
2,C106.txt,113.88524127006531,8294.447960456273
3,C106.txt,106.01653552055359,8331.790379924605
4,C106.txt,119.69519090652466,8088.213598312932
5,C106.txt,115.98053121566772,8327.330908466922
6,C106.txt,133.37921142578125,8345.083060699655
7,C106.txt,124.5648398399353,8106.078273936067
8,C106.txt,126.00867199897766,8058.842860338163
9,C106.txt,116.28930521011353,8338.052221650141
10,C106.txt,116.91627860069275,8145.193445033667
1,R106.txt,183.30492639541626,4612.445508886401
2,R106.txt,176.33362340927124,4628.591483847822
3,R106.txt,175.93182849884033,4694.417060537188
4,R106.txt,178.21889972686768,4561.608069042271
5,R106.txt,173.46336436271667,4599.341212825403
6,R106.txt,193.28441667556763,4576.264589790985
7,R106.txt,197.6034278869629,4695.93241779396
8,R106.txt,194.29891443252563,4572.164076712988
9,R106.txt,191.28885197639465,4573.326885769169
10,R106.txt,200.12327790260315,4606.430358855303
1,RC106.txt,145.72141122817993,5670.619636392701
2,RC106.txt,141.66781091690063,5676.71488995224
3,RC106.txt,139.63276410102844,5564.915934847322
4,RC106.txt,144.82729530334473,5570.708928886616
5,RC106.txt,151.60068488121033,5648.701019862944
6,RC106.txt,138.21602272987366,5538.533582279477
7,RC106.txt,130.12674617767334,5585.507604079823
8,RC106.txt,122.26055240631104,5674.449892700949
9,RC106.txt,133.5304787158966,5581.605304426783
10,RC106.txt,131.83977150917053,5613.260370663782
1,C206.txt,227.81278371810913,6013.165712750237
2,C206.txt,220.0668487548828,5721.027163097298
3,C206.txt,203.21787858009338,5831.948863578794
4,C206.txt,256.13649249076843,5777.631314783575
5,C206.txt,278.40141892433167,5784.547539709753
6,C206.txt,276.2012424468994,5765.9477818549
7,C206.txt,277.65719270706177,6129.058120706099
8,C206.txt,256.4967517852783,5707.701130266053
9,C206.txt,311.49818086624146,5711.004803820415
10,C206.txt,298.17880749702454,5756.495077158499
1,R206.txt,579.9832546710968,3306.9044482371473
2,R206.txt,450.25766015052795,3535.6735804498494
3,R206.txt,488.07721185684204,3308.083308388582
4,R206.txt,459.23702692985535,3366.027666297821
5,R206.txt,452.46134877204895,3490.6975851696293
6,R206.txt,448.8641152381897,3338.7366891835172
7,R206.txt,491.05238223075867,3325.9687489695752
8,R206.txt,467.325891494751,3623.986358539395
9,R206.txt,503.425822019577,3548.767412843216
10,R206.txt,548.16330742836,3604.5274715737814
1,RC206.txt,388.81308364868164,4962.2745917135235
2,RC206.txt,375.0706112384796,5081.693230402998
3,RC206.txt,304.8441832065582,4786.931535991582
4,RC206.txt,336.7115161418915,4868.340793461324
5,RC206.txt,338.4942102432251,4789.770501439967
6,RC206.txt,370.89260244369507,5007.864154642838
7,RC206.txt,374.78573393821716,4996.4670917585445
8,RC206.txt,386.01676869392395,4918.558307030078
9,RC206.txt,345.0028123855591,4880.773636331689
10,RC206.txt,334.63106989860535,4963.638939104822
