,cost,cost,duration,duration
,min,mean,mean,median
instance,,,,
,7753.93,7833.68,,
C102.txt,7755.26646,7858.617735,482.0955105,492.3645144
C103.txt,7895.678395,7985.96787,692.3692976,703.5050437
C104.txt,8100.506833,8249.973254,832.7302969,820.0802827
C105.txt,7923.798133,7954.470675,395.5722093,272.8099275
C106.txt,7831.784297,7945.905607,396.5594239,360.4944944
C107.txt,7933.423766,8030.589809,409.0566734,353.8462372
C101.txt,5695.02,5697.65,,
C202.txt,5687.072769,5689.979856,909.6585623,868.4158013
C203.txt,5684.952734,5702.899421,1479.262945,1436.709385
C204.txt,5677.656286,5682.791412,2252.658481,2337.232491
C205.txt,5691.698374,5847.118688,566.1175394,515.0359969
C206.txt,5691.698374,5859.065599,788.4544407,745.1216352
C207.txt,5692.516423,5723.452112,703.8881752,620.0255342
R101.txt,4580.05,4597.11,,
R102.txt,4462.199479,4490.493282,646.823522,648.9780371
R103.txt,4417.809712,4442.744612,787.8215588,807.3326139
R104.txt,4347.126677,4382.773479,989.653026,1028.154248
R105.txt,4441.185804,4475.698249,464.5841929,394.0562444
R106.txt,4388.35718,4426.133142,788.4221836,623.5690811
R107.txt,4328.957743,4373.641064,955.1941073,876.8838074
R201.txt,3535.97,3574.71,,
R202.txt,3383.256546,3406.036913,931.7429076,926.6888103
R203.txt,3182.661732,3227.336217,1366.63918,1359.252574
R204.txt,3060.529563,3076.617341,2553.243369,2594.669583
R205.txt,3314.208207,3347.651121,906.3213665,986.0755677
R206.txt,3218.884004,3250.672952,1373.350382,1067.45087
R207.txt,3175.03271,3186.110693,3258.266432,1836.625976
RC101.txt,4644.19,4693.63,,
RC102.txt,5284.325173,5402.48087,399.2114287,378.539727
RC103.txt,5217.515579,5313.467258,527.9169611,525.7572277
RC104.txt,5105.326648,5165.252433,730.5883812,738.548383
RC105.txt,5468.675618,5500.856209,7091.866009,603.2939534
RC106.txt,5337.280201,5440.114918,456.7187197,369.2399292
RC107.txt,5270.416684,5315.753205,530.3702913,511.0518944
RC201.txt,5462.29,5546.10,,
RC202.txt,4470.256839,4511.931818,983.0830461,988.618319
RC203.txt,4394.378026,4425.467206,1591.210536,1625.945712
RC204.txt,4207.415334,4264.175677,2715.745176,2720.277203
RC205.txt,4547.693066,4627.647543,877.0112011,717.5051844
RC206.txt,4492.818276,4523.303251,1075.773816,904.0514569
RC207.txt,4373.913148,4466.341,1233.506699,1234.106818
